modulation_type,symbol,magnitude,phase,real,imag,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
256apsk,(0.6316072762644354-0.9828001056597513j),1.1682567351036317,-0.9995976625058429,0.6316072762644354,-0.9828001056597513,0.3086386021968749,0.011906534064473529,0.19260996956572124,0.21661998624997614,0.11973450756998821,0.30863860219687483,0.308638602196875
bpsk,(1+0j),1.0,0.0,1.0,0.0,0.2923723770172334,0.04348632457776007,0.2931676545754135,0.32759993350369315,0.17034573991402124,0.2923723770172333,0.29237237701723345
256apsk,(0.11104986280241404+1.162966778152567j),1.1682567351036317,1.4755965494133876,0.11104986280241404,1.162966778152567,0.3095697036896861,0.017203446013500483,0.24141869513204578,0.27142318422040895,0.15744469835271543,0.30956970368968617,0.3095697036896862
128apsk,(-1.186047888840515+0.29233454909499845j),1.2215437295560152,2.8999316802367323,-1.186047888840515,0.29233454909499845,0.3047817950476339,0.012067642000536418,0.19987047240679356,0.23225322468860804,0.1394738087125294,0.3047817950476339,0.30478179504763403
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,-1.0,-1.0,0.5720757869739436,0.05818148687340857,0.47911223149744503,0.49046785570700785,0.2056346577999713,0.5720757869739437,0.5720757869739438
256apsk,(-0.8888625445008081-0.2888089479520106j),0.9346053880829055,-2.8274333882308142,-0.8888625445008081,-0.2888089479520106,0.32881396336124563,0.02954711484455347,0.2627439911662198,0.25981458721491063,0.10110668470945684,0.3288139633612457,0.3288139633612458
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,1.0,-1.0,0.6686440242706124,0.15877882745792102,0.26777675639441284,0.5733156080496694,0.5754875736113864,0.6686440242706124,0.6686440242706125
8apsk,(0.6596054463884006-0.8271190682773576j),1.0579249964025075,-0.8975979010256554,0.6596054463884006,-0.8271190682773576,0.3149191322842274,0.0046379293349039655,0.22319245748568756,0.227005918105535,0.0866828551680732,0.31491913228422735,0.3149191322842276
128apsk,(-0.4175873295904331+0.24109415714921348j),0.482188314298427,2.6179938779914944,-0.4175873295904331,0.24109415714921348,0.30225758980127787,0.010624869574095468,0.21804242788843115,0.23413198926165385,0.1187113242085134,0.302257589801278,0.302257589801278
128apsk,(-1.2215437295560152-3.9287842781389996e-16j),1.2215437295560152,-3.141592653589793,-1.2215437295560152,-3.9287842781389996e-16,0.29861681475402996,0.014491542975408906,0.23777973616130524,0.2640733568796274,0.13714683764743452,0.29861681475403,0.29861681475403007
