modulation_type,symbol,magnitude,phase,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean
8apsk,(-0.23541045825521645+1.0314006079876599j),1.0579249964025073,1.7951958020513104,0.3058211006413665,0.0007342016834806387,0.2538411425889616,0.3047084587873023,0.177186062671936,0.30582110064136653
bpsk,(1+0j),1.0,0.0,0.26086408934301764,0.07009298157935757,0.2672688694261361,0.23726856087634843,0.06486514754675603,0.2608640893430177
128apsk,(0.482188314298427+0j),0.482188314298427,0.0,0.3090138915552309,0.022814257041835654,0.1961148554089434,0.24711550474120555,0.15755692372250882,0.3090138915552309
128apsk,(1.0816232559342687-0.5676796767894465j),1.2215437295560152,-0.4833219467061219,0.3129489860644778,0.006144306705356718,0.24079255732064664,0.2734215941771726,0.14138080390099947,0.3129489860644777
bpsk,(1+0j),1.0,0.0,0.25638196087989773,0.06928141456689378,0.2669908410321287,0.2189574815541649,0.06083285127490483,0.2563819608798977
64apsk,(1.1362649126205773+0.5471963421596244j),1.2611589069286713,0.44879895051282764,0.3396015330299143,0.05188938938476934,0.2866108140334738,0.27838820606501413,0.07062581590026247,0.3396015330299144
bpsk,(-1+0j),1.0,3.141592653589793,0.2656606813579529,0.061737365827353,0.2677718036997008,0.25750651911707295,0.09368700085946745,0.26566068135795284
128apsk,(0.7801970815128719+0.5668463599447665j),0.964376628596854,0.6283185307179586,0.2878894505202364,0.012344056179224306,0.21126273481985836,0.22790411743849825,0.12262839148227944,0.2878894505202364
64apsk,(-0.2806342578370928-1.2295390200614804j),1.2611589069286715,-1.7951958020513106,0.3396015330299143,0.05188938938476934,0.2866108140334738,0.27838820606501413,0.07062581590026247,0.3396015330299144
256apsk,(-0.7301604594397698+8.94188669516875e-17j),0.7301604594397698,3.141592653589793,0.2960541729286564,0.013382113311280017,0.2224721766154595,0.23704538360288305,0.114871511694341,0.2960541729286564
bpsk,(1+0j),1.0,0.0,0.25802314150929584,0.06852323166931742,0.2583821763947491,0.2290906466988552,0.06527866286599839,0.2580231415092959
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,0.6367970555935448,0.023684121411101787,0.4368269672460702,0.5197117848358496,0.2975172135911674,0.6367970555935449
256apsk,(0.7221683990170552+0.9183118220823145j),1.1682567351036317,0.9043978851243343,0.2960541729286564,0.013382113311280017,0.2224721766154595,0.23704538360288305,0.114871511694341,0.2960541729286564
128apsk,(-0.4378178275538252-0.8592658678545795j),0.964376628596854,-2.0420352248333655,0.2705284699194838,0.02485832941794991,0.2390271366297221,0.25647101669421574,0.12323344481037601,0.27052846991948387
64apsk,(-0.49928944073565446-0.2882648930122676j),0.5765297860245354,-2.617993877991495,0.27319070287146874,0.005916801885222592,0.22995204606314726,0.2678972378719344,0.1484205610926923,0.2731907028714686
128apsk,(2.952551878459133e-17+0.482188314298427j),0.482188314298427,1.5707963267948966,0.31628659582966656,0.014661744826818804,0.2206587359427953,0.28002169873320487,0.1853074701537998,0.3162865958296667
8apsk,(-0.9531574863344378+0.4590164531450492j),1.0579249964025073,2.6927937030769655,0.3422223743373035,0.027510364101328028,0.2102371261334386,0.2683349542118797,0.18234743287165803,0.3422223743373034
256apsk,(0.711853812279336+0.16247598737250918j),0.7301604594397698,0.22439947525641374,0.30861349499647456,0.016563473822054732,0.19625411257750705,0.23679915103845944,0.14656315569496087,0.3086134949964746
16apsk,(0.563621480190678+0.9762210399274296j),1.1272429603813559,1.0471975511965976,0.27136425483359367,0.023248790049023735,0.236624481546636,0.25031934350347257,0.10178150805229276,0.27136425483359355
256apsk,(1.1040035711418574+0.3820993509822053j),1.1682567351036315,0.3331992208352811,0.2960541729286564,0.013382113311280017,0.2224721766154595,0.23704538360288305,0.114871511694341,0.2960541729286564
128apsk,(-5.905103756918266e-17-0.32145887619895136j),0.32145887619895136,-1.5707963267948968,0.2878894505202364,0.012344056179224306,0.21126273481985836,0.22790411743849825,0.12262839148227944,0.2878894505202364
