modulation_type,symbol,magnitude,phase,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
128apsk,(-0.7801970815128719-0.5668463599447665j),0.964376628596854,-2.5132741228718345,0.329639339401284,0.043416154954992216,0.338221666504527,0.2473678403439099,0.02039233799546397,0.32963933940128404,0.3296393394012841
16apsk,(-0.5636214801906785-0.9762210399274296j),1.127242960381356,-2.094395102393196,0.32843368683140417,0.019396548363159787,0.25481480209731994,0.2684222219830355,0.11473941521241163,0.32843368683140417,0.32843368683140434
32apsk,(-0.29786121634608925+3.647747851883755e-17j),0.29786121634608925,3.141592653589793,0.3338213305668126,0.013553417094687178,0.24662696952808408,0.27684174401060885,0.1405856145143352,0.33382133056681257,0.3338213305668128
32apsk,(0.7744391624998321+0j),0.7744391624998321,0.0,0.3044279765789192,0.0004983574734139776,0.2059150112810387,0.2208280979875196,0.10696277272601018,0.30442797657891923,0.30442797657891935
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.6238980207166418,0.028247736012638212,0.4143070311276508,0.5328970210888343,0.3920436287431327,0.6238980207166419,0.623898020716642
8apsk,(0.6596054463884006-0.8271190682773576j),1.0579249964025075,-0.8975979010256554,0.31667523362795774,0.017185676803089352,0.19959296719870787,0.24508604504972414,0.15517969183806096,0.3166752336279578,0.31667523362795785
32apsk,(-0.47304419345501236+1.142029707440933j),1.2361240478362705,1.9634954084936207,0.3338213305668126,0.013553417094687178,0.24662696952808408,0.27684174401060885,0.1405856145143352,0.33382133056681257,0.3338213305668128
64apsk,(-0.5765297860245355+7.060453570680559e-17j),0.5765297860245355,3.141592653589793,0.3271122162955065,0.039259473774315566,0.25195859848787094,0.21187940859919366,0.03159372767598234,0.3271122162955066,0.3271122162955067
256apsk,(-0.8455071644399969-0.8061894529176336j),1.1682567351036317,-2.379994434537722,0.33817523367089225,0.00929856061362936,0.24787766220214322,0.30300899975376566,0.182230949953632,0.3381752336708921,0.3381752336708923
128apsk,(4.330409421740063e-17+0.7072095276376931j),0.7072095276376931,1.5707963267948966,0.31038536606651246,0.008406832513066632,0.23133601634200515,0.2605990527279067,0.14323132719864445,0.3103853660665124,0.31038536606651257
