modulation_type,symbol,magnitude,phase,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
16apsk,(-0.9762210399274299-0.5636214801906777j),1.1272429603813559,-2.617993877991495,0.3181314466132472,0.002926196272794921,0.21866244330078866,0.24570318897340207,0.12761128040015063,0.31813144661324727,0.3181314466132473
64apsk,(0.8647946790368033+0j),0.8647946790368033,0.0,0.3627824486312547,0.02912630244252526,0.31451631873311275,0.33414399713666376,0.1336068544796489,0.3627824486312547,0.3627824486312548
256apsk,(-0.38209935098220543+1.1040035711418574j),1.1682567351036315,1.9039955476301778,0.3059495240635726,0.004814033259868017,0.23289155132252515,0.2656565124927308,0.14426877343769032,0.30594952406357256,0.3059495240635728
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.49936929062005886,0.17064717485912254,0.5073530417245615,0.4251719517291918,0.06382352684412468,0.49936929062005897,0.499369290620059
16apsk,(0.563621480190678+0.9762210399274296j),1.1272429603813559,1.0471975511965976,0.294934508604778,0.004206732070845017,0.19929464364908867,0.22142052544386867,0.11538799829620568,0.294934508604778,0.2949345086047781
32apsk,(0.4730441934550127-1.142029707440933j),1.2361240478362705,-1.1780972450961722,0.322196484904639,0.018663518734973596,0.2619349061854662,0.24651573343847966,0.10795923549296364,0.3221964849046389,0.32219648490463904
128apsk,(-1.2991228265220184e-16-0.7072095276376931j),0.7072095276376931,-1.5707963267948968,0.2629835200999483,0.02652200242688742,0.23788540860185312,0.2601978090386367,0.12164019211151866,0.26298352009994824,0.26298352009994835
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,0.6032315610205617,0.045877452375080396,0.4876718591784356,0.49783176212174896,0.19158857368152263,0.6032315610205616,0.603231561020562
32apsk,(-0.38721958124991634-0.6706839884103994j),0.774439162499832,-2.0943951023931957,0.34533469239319764,0.019568455819258205,0.25063031039433,0.34795910160892,0.24677068206555855,0.3453346923931977,0.3453346923931977
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.6164999001514857,0.002545366134457982,0.43719656755195485,0.5064268237208541,0.28758920348269973,0.6164999001514856,0.6164999001514858
256apsk,(0.35410900375970444+0.20444492864313552j),0.4088898572862711,0.5235987755982988,0.3114236849489002,0.014469815509391628,0.23525073051632703,0.24451839449779444,0.10375680263333982,0.31142368494890027,0.3114236849489003
8apsk,(-0.9531574863344378-0.459016453145049j),1.0579249964025073,-2.6927937030769655,0.3352707849748658,0.005023416672529274,0.23615327640908362,0.2790737201175314,0.16897783819501488,0.33527078497486584,0.33527078497486595
128apsk,(0.21853976262392624+0.6725962296458454j),0.707209527637693,1.2566370614359172,0.3538291545245972,0.03334766955586126,0.3403907231390401,0.38929740199197616,0.1839325965685006,0.3538291545245973,0.35382915452459734
16apsk,(0.9762210399274294-0.5636214801906785j),1.1272429603813559,-0.5235987755982995,0.2886735197696461,0.03682069304265664,0.2588952368017348,0.2629224518288351,0.10134118730826827,0.28867351976964617,0.2886735197696462
32apsk,(-0.29786121634608925+3.647747851883755e-17j),0.29786121634608925,3.141592653589793,0.2681209605752051,0.012614170477857697,0.21887011309679394,0.24609065874516492,0.12327446665238757,0.26812096057520507,0.2681209605752052
bpsk,(-1+0j),1.0,3.141592653589793,0.2454019479693786,0.0409142785810086,0.20628392728756953,0.22915644269451382,0.11628981233768698,0.24540194796937867,0.24540194796937875
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,0.5991038699793089,0.02881196749184448,0.4484592877205133,0.4586227596182591,0.18691571609231672,0.5991038699793088,0.5991038699793091
256apsk,(1.1471448139686922+0.2210940408507924j),1.168256735103632,0.19039955476301776,0.3128936769178858,0.0038383236142351335,0.23406861574612936,0.274596014742949,0.1623924345825348,0.3128936769178857,0.31289367691788583
64apsk,(0.5083135585988355-0.6996335919858021j),0.8647946790368033,-0.9424777960769383,0.30308531201711164,0.010473966139493474,0.20563305781967828,0.2771089155022201,0.1761134995883435,0.30308531201711164,0.3030853120171118
8apsk,(0.6596054463884006-0.8271190682773576j),1.0579249964025075,-0.8975979010256554,0.34126714478843795,0.009901565329760803,0.22579470816635328,0.2559832836750433,0.1534704492745145,0.3412671447884379,0.341267144788438
