modulation_type,symbol,label,magnitude,phase,real,imag
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(1+0j),1,1.0,0.0,1.0,0.0
bpsk,(-1+0j),0,1.0,3.141592653589793,-1.0,0.0
qpsk,(-1+1j),0,1.4142135623730951,2.356194490192345,-1.0,1.0
qpsk,(1-1j),1,1.4142135623730951,-0.7853981633974483,1.0,-1.0
qpsk,(1+1j),1,1.4142135623730951,0.7853981633974483,1.0,1.0
qpsk,(-1+1j),0,1.4142135623730951,2.356194490192345,-1.0,1.0
qpsk,(-1-1j),0,1.4142135623730951,-2.356194490192345,-1.0,-1.0
qpsk,(1-1j),0,1.4142135623730951,-0.7853981633974483,1.0,-1.0
qpsk,(1-1j),0,1.4142135623730951,-0.7853981633974483,1.0,-1.0
